Pmid,Title,Abstract,Authors,Journal,Keywords,Url,Affiliations,Publication Date,References
40678639,Polio vaccination campaigns in conflicts: succeeding while other humanitarian efforts fail?,"In conflict settings, public health interventions such as vaccination campaigns and improvements in water, sanitation, and hygiene (WASH) could benefit all parties involved. However, while polio vaccination campaigns frequently succeed in securing humanitarian pauses, WASH initiatives attempting to improve safe water supply and sewage disposal rarely achieve the same outcome. Using the Israel-Gaza conflict as an example, we analyze the factors contributing to the success of polio vaccination campaigns compared to WASH initiatives. We identify four key elements that facilitate the implementation of polio campaigns in conflict zones: (i) the ubiquitous decline in vaccine coverage and the subsequent detection of polio cases; (ii) international institutional support, including the role of the Global Polio Eradication Initiative (GPEI); (iii) the shortness of the required humanitarian pauses, the vertical nature, and the straightforward impact assessment of vaccination campaigns; and (iv) their ""neutral"" character due to an intentionally restrictive focus on children as the primary beneficiaries. Although polio vaccination campaigns do not typically lead to lasting peace and WASH initiatives often fail to secure even temporary humanitarian pauses, public health efforts should seize every opportunity to foster cooperation between warring parties. Such initiatives can help build trust, laying the groundwork for future peace negotiations and post-conflict reconstruction.","Sabahelzain Majdi M, Agha Hazem, Davidovitch Nadav, Razum Oliver",Frontiers in public health,"Humans, Poliomyelitis, Israel, Immunization Programs, Armed Conflicts, Altruism, Poliovirus Vaccines, Hygiene, Sanitation, Vaccination",https://www.ncbi.nlm.nih.gov/pubmed/40678639,"Sydney School of Public Health, The University of Sydney, Sydney, NSW, Australia.; Sydney Infectious Diseases Institute, Faculty of Medicine and Health, The University of Sydney, Sydney, NSW, Australia.; Al-Quds Public Health Society, Jerusalem, Palestine.; School of Public Health, Ben-Gurion University of the Negev, Be'er Sheva, Israel.; School of Public Health, Bielefeld University, Bielefeld, Germany.",2025,"Schwartzstein P. The Rise, Fall, and Possible Rise Again of the Middle East's Most Ambitious Environment Scheme. Washington, DC: Wilson Center Insight & Analysis; (2024). | Llamazares M, El Hatab O, Shah J, King T. WASH for Peace - Conflict Sensitivity and Peacebuilding Guidance and Tools for the WASH Sector. New York: UNICEF (2024). 164 p. | Inter-Agency Standing Committee (IASC). Leadership in Humanitarian Action: Handbook for Humanitarian Coordinators. (2024). 126 p. Available online at: https://interagencystandingcommittee.org/sites/default/files/2024-09/Leadership%20in%20Humanitarian%20Action_Handbook%20for%20Humanitarian%20Coordinators_2024.pdf (Accessed June 22, 2025). | Kennedy J, Michailidou D. Civil war, contested sovereignty and the limits of global health partnerships: A case study of the Syrian polio outbreak in 2013. Health Policy Plan. (2017) 32:690–8. 10.1093/heapol/czw148 https://pubmed.ncbi.nlm.nih.gov/28453719 | Schneiker A. Why trust you? Security cooperation within humanitarian NGO networks. Disasters. (2020) 44:25–43. 10.1111/disa.12363 https://pubmed.ncbi.nlm.nih.gov/31231841"
40475386,Trauma by the Numbers: A Cross-Sectional Analysis and Categorization of Trauma Cases in the Gaza War.,"To categorize and analyze trauma cases from the Gaza war, identifying injury patterns and informing future humanitarian efforts in conflict zones. A cross-sectional study was conducted in April 2024 at European Gaza Hospital. Data on demographics and injury types were collected from patients treated by FAJR Scientific's surgical team. Injuries were classified into primary (directly conflict-related), secondary (indirectly conflict-related), and tertiary (unrelated to the conflict). Statistical analyses included Kruskal-Wallis H test, logistic regression, and Fisher's Exact Test. Among the 80 surgical cases analyzed, primary injuries were the most common (53%), predominantly affecting males aged 30-39. Secondary injuries accounted for 14% of cases, while tertiary injuries represented 33%. Significant associations were found between age categories and injury classifications (p < 0.05). The prevalence of primary injuries highlights the severe impact of conflict on civilians, particularly middle-aged males. The findings suggest the need for enhanced orthopedic surgical capacity, integrated chronic disease management, and specialized pediatric care in conflict zones. Improved data collection and analysis are essential for optimizing medical interventions and resource allocation.","Wajahath Muaaz, Nasser Elias, Nayfeh Tariq, Irfan Bilal, Balasundaram Rohit, Nasser Mosab, Saleh Khaled J",International journal of public health,"Humans, Male, Cross-Sectional Studies, Adult, Female, Middle Aged, Middle East, Wounds and Injuries, Adolescent, Young Adult, Child, Child, Preschool, Aged, Armed Conflicts, Warfare, Prevalence, Infant",https://www.ncbi.nlm.nih.gov/pubmed/40475386,"Michigan State University College of Human Medicine, Lansing, MI, United States.; FAJR Scientific, Houston, TX, United States.; The University of Texas Southwestern Medical Center, Dallas, TX, United States.; Center for Bioethics, Harvard Medical School, Boston, MA, United States.; Center for Surgery and Public Health, Brigham and Women's Hospital, Boston, MA, United States.; Department of Neurology, University of Michigan Medical School, Ann Arbor, MI, United States.; Wayne State University School of Medicine, Detroit, MI, United States.",2025,"Magruder KM, McLaughlin KA, Elmore Borbon DL. Trauma Is a Public Health Issue. Eur J Psychotraumatol (2017) 8:1375338. 10.1080/20008198.2017.1375338 https://pubmed.ncbi.nlm.nih.gov/29435198 | Wild H, Stewart BT, LeBoa C, Stave CD, Wren SM. Epidemiology of Injuries Sustained by Civilians and Local Combatants in Contemporary Armed Conflict: An Appeal for a Shared Trauma Registry Among Humanitarian Actors. World J Surg (2020) 44:1863–73. 10.1007/s00268-020-05428-y https://pubmed.ncbi.nlm.nih.gov/32100067 | Awuah WA, Tan JK, Shah MH, Ahluwalia A, Roy S, Ali SH, et al. Addressing Abdominal Trauma from Conflict and Warfare in Under‐resourced Regions: A Critical Narrative Review. Health Sci Rep (2024) 7:e70151. 10.1002/hsr2.70151 https://pubmed.ncbi.nlm.nih.gov/39444729 | Nasser E, Alshaer N, Wajahath M, Irfan B, Tahir M, Nasser M, et al. Management of Fracture-Related Infection in Conflict Zones: Lessons Learned from Medical Missions to Gaza. Antibiotics (2024) 13:1020. 10.3390/antibiotics13111020 https://pubmed.ncbi.nlm.nih.gov/39596715 | Irfan B, Lulu I, Hamawy A, Shammala AA, Kullab S, Fawaz M, et al. Combating Infections under Siege: Healthcare Challenges amidst the Military Assault in Gaza. World Med and Health Pol (2025) 17:188–213. 10.1002/wmh3.642"
39957103,"Energy drinks, depression, insomnia, and stress in palestinian adolescents: a cross-sectional study.","Adolescents are increasingly consuming energy drinks (EDs), prompting worries about their potential mental health impacts. The association between ED use and psychological effects among Palestinian teenagers, particularly the impact of smoking habits such as waterpipes, electronic cigarettes, and cigarettes, is little studied. This study explores the correlation between ED consumption and mental health outcomes such as depression, insomnia, and stress among adolescents in Palestine. A cross-sectional study was conducted from February to June 2024, involving adolescents aged 12-18 recruited from schools in the West Bank. Data collection utilized a structured questionnaire assessing ED consumption, smoking habits, depression (PHQ-9), insomnia (ISI), and stress (Adolescent Stress Scale). Data were analyzed using SPSS version 29. The research involved 1,668 adolescents, with a mean age of 15.67 years (±1.57 years). ED consumption was prevalent at 74.7 % (95 % CI: 76.5-72.7). Males and smokers, especially those using traditional cigarettes and waterpipes, exhibited a higher likelihood of consuming energy drinks (aPR: 2.18; 95 %CI: 1.64-2.91), (aPR: 2.99; 95 %CI: 1.49-5.59), and (aPR: 2.54; 95 %CI: 1.23-5.19). Depression exhibited a significant relationship with ED consumption (aPR: 2.25; 95%CI: 1.51-3.37). A dose-response relationship was identified between insomnia and ED consumption, with an adjusted prevalence ratio (aPR) of 2.42 (95 % CI: 1.56-3.47) for moderate severity and 2.95 (95 % CI: 1.28-6.75) for severe insomnia. ED consumption is associated with poorer mental health outcomes, particularly among smokers. Interventions targeting both ED use and smoking behaviors are crucial to improving mental health in Palestinian adolescents. The study was conducted during the Gaza war, a period marked by heightened stress levels among participants due to increased security checks and economic hardships. These challenges may have influenced participants' stress levels and impacted their purchasing behaviors for EDs and tobacco shisha products. Further research is needed to explore the long-term effects of these behaviors.","Maraqa Beesan, Fasfoos Ahmad, Alami Mohammad, Banat Nader, Amr Obada, Saraheen Atef",International journal of adolescent medicine and health,"Humans, Adolescent, Male, Sleep Initiation and Maintenance Disorders, Cross-Sectional Studies, Female, Energy Drinks, Stress, Psychological, Depression, Arabs, Surveys and Questionnaires, Middle East, Child, Prevalence, Smoking",https://www.ncbi.nlm.nih.gov/pubmed/39957103,"College of Medicine, 115527 Hebron University , Hebron, Palestine.; Department of Family and Community Medicine, College of Medicine, Hebron University, Hebron, Palestine.",2025-Feb-01,"Statisa . Revenue of the energy & sports drinks industry worldwide 2018-2029. Consumer goods & FMCG, non-alcoholic beverages; 2024. https://www.statista.com/statistics/691384/sales-value-energy-drinks-worldwide/#statisticContainer [Accessed 10 January 2025]. | Ali, F, Rehman, H, Babayan, Z, Stapleton, D, Joshi, DD. Energy drinks and their adverse health effects: a systematic review of the current evidence. Postgrad Med J 2015;127:308–22. https://doi.org/10.1080/00325481.2015.1001712 . | Al Sabbah, H, Younis, M. Consumption patterns and side effects of energy drinks among university students in Palestine: crosssectional study. MOJ Public Heal 2015;2. https://doi.org/10.15406/MOJPH.2015.02.00015 . | Trapp, G, Hurworth, M, Christian, H, Bromberg, M, Howard, J, McStay, C, et al.. Prevalence and pattern of energy drink intake among Australian adolescents. J Hum Nutr Diet 2021;34:300–4. https://doi.org/10.1111/JHN.12789 . | Galimov, A, Hanewinkel, R, Hansen, J, Unger, JB, Sussman, S, Morgenstern, M. Energy drink consumption among German adolescents: prevalence, correlates, and predictors of initiation. Appetite 2019;139:172–9. https://doi.org/10.1016/J.APPET.2019.04.016 ."
39258854,European Academy of Paediatrics demands protection of children's rights endangered by the ongoing Israel Gaza conflict.,,"Koletzko Berthold, da Dalt Liviana, De Guchtenaere Ann, Dembinski Lukasz, Grossman Zachi, Hadjipanayis Adamos, Karara Nora, Størdal Ketil","Acta paediatrica (Oslo, Norway : 1992)",,https://www.ncbi.nlm.nih.gov/pubmed/39258854,"Department of Paediatrics, LMU University of Munich, Dr. von Hauner Children's Hospital, LMU Medicine, Munich, Germany.; German Center for Child and Adolescent Health, Site Munich, Munich, Germany.; Department of Women's and Children's Health, University of Padova, Padova, Italy.; General Paediatrics, University Hospital Ghent, Ghent, Belgium.; Department of Pediatric Gastroenterology and Nutrition, Medical University of Warsaw, Warsaw, Poland.; Department of Pediatrics, Adelson School of Medicine, Ariel University Pediatrics, Ariel, Israel.; Department of Pediatrics, Maccabi Health Care Services Pediatrics, Tel Aviv, Israel.; Medical School, European University Cyprus, Nicosia, Cyprus.; Department of Paediatrics, Larnaca General Hospital, Larnaca, Cyprus.; Paediatric Practice, Berlin, Germany.; Children's Center, Oslo University Hospital, Oslo, Norway.; Department of Pediatric Research, Faculty of Medicine, University of Oslo, Oslo, Norway.",2024-Dec,
37497596,Post-traumatic stress in war veterans and secondary traumatic stress among parents of war veterans five years after the 2014 Israel-Gaza military conflict.,"Secondary traumatic stress (STS) has been studied in therapists, spouses, and mainly in children of traumatised individuals. To date, the relationship between children's posttraumatic stress disorder (PTSD) symptoms and their parents' mental health outcomes have been understudied, and specifically, long term STS symptoms of parents of war veterans were not investigated. The current study examined PTSD symptoms among veterans of the 2014 Israel-Gaza war and STS among their parents, five years after the war. The control group consisted of veterans from combat military units who were on active duty at the time of the war but did not actively participate in the war (stand-by units) - providing a natural experiment condition. We found that PTSD symptoms were almost twice as high in the directly active war veterans (DAV, <i>N</i> = 32) group compared to the indirectly active war veterans (IAV, <i>N</i> = 26) group. Results showed that mothers had higher STS symptoms in general, and DAV PTSD symptoms correlated with their fathers STS symptoms. The current study provides novel evidence for: (a) subclinical PTSD symptoms in war veterans 5 years after the war, and (b) transmission of trauma from war veterans to their parents. The overall negative effect of sending a child to war on the parents are also discussed.","Leshem Shahaf, Keha Eldad, Kalanthroff Eyal",European journal of psychotraumatology,"Child, Female, Humans, Veterans, Compassion Fatigue, Stress Disorders, Post-Traumatic, Israel, Parents",https://www.ncbi.nlm.nih.gov/pubmed/37497596,"Department of Psychology, The Hebrew University of Jerusalem, Jerusalem, Israel.; Department of Psychology, Achva Academic College, Beer-Tuvia, Israel.",2023,"American Psychiatric Association . (2013). Diagnostic and statistical manual of mental disorders (5th ed.). Washington, DC: American Psychiatric Publishing. | Canfield, J. (2005). Secondary traumatization, burnout, and vicarious traumatization: A review of the literature as it relates to therapists who treat trauma. Smith College Studies in Social Work, 75(2), 81–101. 10.1300/J497v75n02_06 | Dagan, S. W., Ben-Porat, A., & Itzhaky, H. (2016). Child protection workers dealing with child abuse: The contribution of personal, social and organizational resources to secondary traumatization. Child Abuse & Neglect, 51, 203–211. 10.1016/j.chiabu.2015.10.008 https://pubmed.ncbi.nlm.nih.gov/26549769 | David, D., Woodward, C., Esquenazi, J., & Mellman, T. A. (2004). Comparison of comorbid physical illnesses among veterans with PTSD and veterans with alcohol dependence. Psychiatric Services, 55(1), 82–85. 10.1176/appi.ps.55.1.82 https://pubmed.ncbi.nlm.nih.gov/14699207 | Dinshtein, Y., Dekel, R., & Polliack, M. (2011). Secondary traumatization among adult children of PTSD veterans: The role of mother–child relationships. Journal of Family Social Work, 14(2), 109–124. 10.1080/10522158.2011.544021"
